name,symbol,contract,market_cap_usd,fdv_usd,volume_24h_usd,rank
USDT,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,95000000000,95000000000,50000000000,3
USDC,USDC,0xA0b86a33E6441b8c4C8C8C8C8C8C8C8C8C8C8C8,32000000000,32000000000,8000000000,6
Uniswap,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,12000000000,12000000000,200000000,20
Chainlink,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,8000000000,8000000000,300000000,15
Aave,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,2000000000,2000000000,80000000,45
Maker,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,1500000000,1500000000,50000000,60
Curve DAO Token,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,800000000,800000000,30000000,80
Synthetix Network Token,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,600000000,600000000,20000000,100
Yearn.finance,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad9e2,400000000,400000000,15000000,120
Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3D,300000000,300000000,10000000,150
Lido DAO,LDO,0x5A98FcBEA516Cf0685f6cE4aA9A9714d065Da7A7,250000000,250000000,8000000,180
Rocket Pool,RPL,0xD33526068D116cE69F19A9ee46F0bd304f21A51f,200000000,200000000,6000000,200
SushiSwap,SUSHI,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,150000000,150000000,4000000,250
PancakeSwap Token,CAKE,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,120000000,120000000,3000000,300
1inch,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,100000000,100000000,2500000,350
Frax,FRAX,0x853d955aCEf822Db058eb8505911ED77F175F99E,80000000,80000000,2000000,400
GMX,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,60000000,60000000,1500000,500
dYdX,DYDX,0x92D6C1e31e14520e676a687F0a93788B716BEff5,50000000,50000000,1200000,600
Compound,COMP,0xc00e94Cb662C3520282E6f5717214004A7f26888,40000000,40000000,1000000,700
RenVM,REN,0x408e41876cCdc0F92210600ef50372656052a445,30000000,30000000,800000,800
